GameTitle,Profit,GenreRank
Fate/Extra,0.18,339
"Fable: The Journey",0.18,339
"Medabots AX: Metabee",0.18,339
"Divinity II: Ego Draconis",0.18,339
"Record of Agarest War",0.18,339
"Marvel: Ultimate Alliance 2",0.17,354
"Suikoden IV",0.17,354
NieR,0.17,354
"Lords of the Fallen",0.17,354
"Tales of the World: Radiant Mythology",0.17,354
"Dungeon Siege III",0.17,354
"Fragile Dreams: Farewell Ruins of the Moon",0.17,354
"Valkyrie Profile: Lenneth",0.17,354
"Shin Megami Tensei: Devil Survivor 2",0.17,354
"Lunar Knights",0.17,354
"Skies of Arcadia Legends",0.17,354
"Enchanted Arms",0.17,354
"Final Fantasy XI",0.17,354
"Marvel: Ultimate Alliance 2",0.16,367
"Mario & Luigi: Paper Jam",0.16,367
"Wild ARMs 3",0.16,367
"Tales of Zestiria",0.16,367
"The Lord of the Rings: The Third Age",0.16,367
"Dragon's Crown",0.16,367
"DC Universe Online",0.16,367
"Children of Mana",0.16,367
"Bravely Second: End Layer",0.16,367
"Phantasy Star Ø",0.16,367
"Disgaea: Hour of Darkness",0.16,367
"Hybrid Heaven",0.16,367
"Stella Glow",0.16,367
"Luminous Arc",0.16,367
"Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout",0.16,367
"Mega Man Battle Network 5: Team Colonel / Protoman",0.16,367
"Dark Messiah of Might and Magic Elements",0.16,367
"Spectrobes: Origins",0.16,367
Nostalgia,0.16,367
"Enchanted Arms",0.16,367
"Might & Magic: Clash of Heroes",0.16,367
"Magical Starsign (US sales)",0.16,367
"Rondo of Swords (US sales)",0.16,367
"Dragon Warrior II",0.15,390
"SaGa Frontier",0.15,390
"Lightning Returns: Final Fantasy XIII",0.15,390
"Final Fantasy Type-0",0.15,390
"Suikoden II",0.15,390
"Fullmetal Alchemist and the Broken Angel",0.15,390
"Tactics Ogre: Let Us Cling Together",0.15,390
"Final Fantasy Explorers",0.15,390
"Tales of Hearts",0.15,390
"Orphen: Scion of Sorcery",0.15,390
"Alundra 2: A New Legend Begins",0.15,390
"Jade Cocoon: Story of the Tamamayu",0.15,390
"Game of Thrones",0.15,390
"Valhalla Knights",0.15,390
"Disgaea: Afternoon of Darkness",0.15,390
"Baldur's Gate: Dark Alliance",0.15,390
"Mass Effect 3",0.14,406
"Kingdoms of Amalur: Reckoning",0.14,406
".hack//Outbreak Part 3",0.14,406
"Vandal Hearts",0.14,406
"Mega Man Battle Network",0.14,406
"Gauntlet: Seven Sorrows",0.14,406
"Okage: Shadow King",0.14,406
"Star Ocean: Second Evolution",0.14,406
"Digimon World: Dawn / Dusk",0.14,406
"Untold Legends: The Warriors Code",0.14,406
"Grandia II",0.14,406
"Shin Megami Tensei: Strange Journey",0.14,406
"Atelier Iris 3: Grand Phantasm (US Sales)",0.14,406
"World of Warcraft: Legion",0.14,406
"Wild ARMs 5",0.14,406
"Soul Nomad & the World Eaters",0.14,406
"Shin Megami Tensei: Devil Survivor",0.14,406
"Crusaders of Might and Magic",0.14,406
Grandia,0.14,406
"Cross Edge",0.14,406
"Ys Seven",0.14,406
"Rune Factory: Tides of Destiny",0.14,406
"Rune Factory: Tides of Destiny",0.14,406
"Untold Legends: Dark Kingdom",0.14,406
"Breath of Fire II",0.14,406
Sudeki,0.14,406
"Lunar Legend",0.14,406
"Kingdom of Paradise",0.14,406
NieR,0.13,434
"Dark Souls II",0.13,434
"Final Fantasy IV: The Complete Collection",0.13,434
"The 3rd Birthday",0.13,434
"Tactics Ogre: The Knight of Lodis",0.13,434
"Final Fantasy Crystal Chronicles: Echoes of Time",0.13,434
"Dragon Ball Z: Attack of the Saiyans",0.13,434
"Pandora's Tower",0.13,434
"Etrian Odyssey III: The Drowned City",0.13,434
"Magna Carta 2",0.13,434
"Disgaea 3: Absence of Detention",0.13,434
"Shin Megami Tensei: Persona 2: Innocent Sin",0.13,434
"Shin Megami Tensei: Devil Summoner - Soul Hackers",0.13,434
"Fullmetal Alchemist 2: Curse of the Crimson Elixir",0.13,434
"Muramasa: The Demon Blade",0.13,434
"Legaia 2: Duel Saga",0.13,434
Alundra,0.13,434
"Heroes of Ruin",0.13,434
"Arc Rise Fantasia",0.13,434
"Conception II: Children of the Seven Stars",0.13,434
"Dungeon Siege: Throne of Agony",0.13,434
"Final Fantasy XI: Vana'diel Collection 2008",0.13,434
"The Wizard of Oz: Beyond The Yellow Brick Road",0.13,434
"Hero's Saga Laevatein Tactics",0.13,434
"Resonance of Fate",0.12,458
"Valkyria Chronicles II",0.12,458
"Grandia III",0.12,458
"Final Fantasy Crystal Chronicles: Echoes of Time",0.12,458
"Atelier Totori: The Adventurer of Arland",0.12,458
"Etrian Odyssey IV: Legends of the Titans",0.12,458
"Monster Lab",0.12,458
"Might & Magic Heroes VI",0.12,458
"Final Fantasy XI: Chains of Promathia",0.12,458
"Digimon World: Data Squad",0.12,458
"Shadow Hearts: Covenant",0.12,458
"Blue Dragon Plus",0.12,458
"Angel Blade: Neo Tokyo Guardians",0.12,458
"Threads of Fate",0.12,458
"Lufia: Curse of the Sinistrals",0.12,458
"Culdcept SAGA",0.12,458
"Dokapon Kingdom",0.12,458
"Phantom Brave: We Meet Again",0.12,458
"Dragon Quest Monsters: Joker 2",0.11,476
"Beyond The Beyond",0.11,476
"Breath of Fire IV",0.11,476
"RPG Maker",0.11,476
"Monster Hunter",0.11,476
"The Legend of Legacy",0.11,476
"Avalon Code",0.11,476
".hack//G.U. Vol.2//Reminisce",0.11,476
"Breath of Fire",0.11,476
"Magna Carta: Tears of Blood",0.11,476
"Growlanser: Heritage of War",0.11,476
"Baldur's Gate: Dark Alliance",0.11,476
"Disgaea DS",0.11,476
"Phantasy Star Online Episode I & II",0.11,476
"Divinity II: The Dragon Knight Saga",0.11,476
"Lunar: Dragon Song",0.11,476
"Brave Story: New Traveler (US sales)",0.11,476
"Dragon Warrior III",0.1,493
"SaGa Frontier 2",0.1,493
"Unlimited Saga",0.1,493
"Lords of the Fallen",0.1,493
"Ogre Battle 64: Person of Lordly Caliber",0.1,493
EverGrace,0.1,493
"Deus Ex: Mankind Divided",0.1,493
"Drakengard 3",0.1,493
"Eternal Ring",0.1,493
"Disgaea 5: Alliance of Vengeance",0.1,493
"Etrian Odyssey II: Heroes of Lagaard",0.1,493
"Phantasy Star Universe: Ambition of the Illuminus",0.1,493
"Etrian Odyssey Untold: The Millennium Girl",0.1,493
"Game of Thrones",0.1,493
"Disgaea 2: Dark Hero Days",0.1,493
"Ragnarok DS",0.1,493
"Shin Megami Tensei x Fire Emblem",0.1,493
"The Legend of Heroes: Trails in the Sky First Chapter",0.1,493
"The Bard's Tale",0.1,493
"Summoner 2",0.1,493
"Bleach: The 3rd Phantom",0.1,493
"Mega Man X: Command Mission",0.1,493
"Lost Kingdoms",0.1,493
"Boktai: The Sun is in Your Hand",0.1,493
"Shonen Jump's Shaman King: Master of Spirits",0.1,493
"Valhalla Knights: Eldar Saga",0.1,493
"Adventures to Go!",0.1,493
"Digimon World DS",0.1,493
"Master of the Monster Lair",0.1,493
"Tales of Destiny",0.09,522
"Mega Man Battle Network 6: Cybeast Falzar / Gregar",0.09,522
"Two Worlds II",0.09,522
"Sword Art Online: Lost Song",0.09,522
"Xenosaga Episode III: Also sprach Zarathustra",0.09,522
"Disgaea 2: Cursed Memories",0.09,522
"Fable III",0.09,522
"Shadow Hearts",0.09,522
"Suikoden Tierkreis",0.09,522
"Divinity: Original Sin",0.09,522
"Sands of Destruction",0.09,522
"Etrian Mystery Dungeon",0.09,522
"Valhalla Knights 2",0.09,522
"Final Fantasy Fables: Chocobo's Dungeon",0.09,522
"Disgaea D2: A Brighter Darkness",0.09,522
"Breath of Fire: Dragon Quarter",0.09,522
"Conception II: Children of the Seven Stars",0.09,522
"Phantasy Star Universe",0.09,522
"Arcania: Gothic 4",0.09,522
"La Pucelle: Tactics",0.09,522
"EverQuest Online Adventures: Frontiers",0.09,522
".hack//Quarantine Part 4: The Final Chapter",0.09,522
"Mega Man X: Command Mission",0.09,522
"Hyperdimension Neptunia",0.09,522
"King's Field",0.09,522
"Ys: The Oath in Felghana",0.09,522
"Record of Agarest War 2",0.09,522
Venetica,0.09,522
"Lost Magic",0.09,522
"Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage",0.09,522
"InuYasha: Secret of the Divine Jewel",0.09,522
"Fighting Fantasy: The Warlock of Firetop Mountain",0.09,522
"Dragon Warrior IV",0.08,554
"Dark Souls II",0.08,554
"Phantasy Star Portable 2",0.08,554
"Sword Art Online: Lost Song",0.08,554
"Dungeon Siege III",0.08,554
"Suikoden V",0.08,554
"Fossil Fighters: Frontier",0.08,554
"Deus Ex: Mankind Divided",0.08,554
"Final Fantasy XI",0.08,554
"The Legend of Heroes: Trails of Cold Steel",0.08,554
"Tales of Phantasia",0.08,554
"King's Field II",0.08,554
"Beyblade: Metal Fusion",0.08,554
"Ar tonelico Qoga: Knell of Ar Ciel",0.08,554
"Justice League Heroes",0.08,554
"Shin Megami Tensei: Persona",0.08,554
"The Bard's Tale",0.08,554
"Solatorobo: Red the Hunter",0.08,554
"Shiren the Wanderer",0.08,554
"Hyperdevotion Noire: Goddess Black Heart",0.08,554
"Half-Minute Hero",0.08,554
Wildstar,0.08,554
"Atelier Iris: Eternal Mana",0.08,554
"Digimon World 4",0.08,554
"Mind Zero",0.08,554
"The Granstream Saga",0.08,554
"Eternal Eyes",0.08,554
"Monster Rancher DS",0.08,554
"Atelier Annie: Alchemists of Sera Island",0.08,554
"A Witch's Tale",0.08,554
"Phantasy Star Collection",0.08,554
Opoona,0.08,554
"Aidyn Chronicles: The First Mage",0.08,554
"The Legend of Heroes: A Tear of Vermillion",0.08,554
"Spectral Force Genesis",0.08,554
"Spectral Force 3",0.08,554
"Super Robot Taisen OG Saga: Endless Frontier",0.08,554
"World of Warcraft",0.07,591
"Dragon Quest VII: Warriors of Eden",0.07,591
"South Park: The Stick of Truth",0.07,591
"Valkyrie Profile",0.07,591
"Tales of Legendia",0.07,591
"Dawn of Mana",0.07,591
"Shin Megami Tensei: Nocturne",0.07,591
"Grandia Xtreme",0.07,591
"Lord of Arcana",0.07,591
"Sakura Wars: So Long, My Love",0.07,591
"Infinite Space",0.07,591
"Mana Khemia 2: Fall of Alchemy",0.07,591
"Bound By Flame",0.07,591
Risen,0.07,591
"Trinity Universe",0.07,591
"Dungeon Travelers 2: The Royal Library & The Monster Seal",0.07,591
"The Secret World",0.07,591
"Digimon World 4",0.07,591
"Tears to Tiara II: Heir of the Overlord",0.07,591
"Musashi: Samurai Legend",0.07,591
"Shadow Hearts: From The New World",0.07,591
"Lost Dimension",0.07,591
"Wild ARMs 4",0.07,591
"Phantom Brave",0.07,591
"Hexyz Force",0.07,591
"Eternal Poison",0.07,591
"Wild ARMs XF",0.07,591
"Zetta Hero Project: Unlosing Ranger vs. Darkdeath Evilman",0.07,591
"Ys: The Ark of Napishtim",0.07,591
"Azure Dreams",0.07,591
