GameTitle,Profit,GenreRank
"Super Robot Taisen OG Saga: Endless Frontier (JP sales)",0.14,438
"Star Ocean: Blue Sphere",0.14,438
.hack//Link,0.14,438
"Yu-Gi-Oh! Monster Capture GB",0.14,438
"Naruto RPG 2: Chidori vs Rasengan",0.14,438
"7th Dragon",0.14,438
"Shining Resonance",0.14,438
"Queen's Gate: Spiral Chaos",0.14,438
"The Elder Scrolls IV: Oblivion",0.13,463
"Golden Sun: Dark Dawn",0.13,463
"Final Fantasy Anniversary Edition",0.13,463
"Tales of Symphonia",0.13,463
"Ar tonelico Qoga: Knell of Ar Ciel",0.13,463
"Sands of Destruction",0.13,463
"Shin Megami Tensei: Persona",0.13,463
"The Legend of Heroes: Trails of Cold Steel II",0.13,463
Soukaigi,0.13,463
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",0.13,463
"Final Fantasy XI: Rise of the Zilart",0.13,463
"Suikoden: Tsumugareshi Hyakunen no Toki",0.13,463
"Shiren the Wanderer 4 - God's Eye and the Demon's Navel",0.13,463
"Ken to Mahou to Gakuen Mono. 3",0.13,463
"Tales of the Heroes: Twin Brave",0.13,463
"Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan",0.13,463
"Eternal Poison (JP sales)",0.13,463
"Illusion of Gaia",0.13,463
"Grand Knights History",0.13,463
"Metal Max 3",0.13,463
"Monster Hunter Frontier Online",0.13,463
"Mystic Ark",0.13,463
"Shining Wind",0.13,463
"7th Dragon 2020-II",0.13,463
"Doukyuusei 2",0.13,463
"Last Ranker",0.13,463
"Infinite Undiscovery",0.12,489
"Xenoblade Chronicles",0.12,489
"Dragon's Crown",0.12,489
"Shin Megami Tensei: Devil Survivor 2",0.12,489
"The Legend of Heroes: Trails of Cold Steel",0.12,489
"Dragon Quest Builders: Revive Alefgard",0.12,489
"Shin Megami Tensei: Devil Survivor",0.12,489
"Disgaea 2: Dark Hero Days",0.12,489
"Avalon Code",0.12,489
"Etrian Mystery Dungeon",0.12,489
"Valhalla Knights 2",0.12,489
"Valhalla Knights 3",0.12,489
"Space Griffon VF-9",0.12,489
"7th Dragon III Code: VFD",0.12,489
"Puella Magi Madoka Magica Portable",0.12,489
"Mugen no Frontier: Super Robot Taisen OG Saga EXCEED",0.12,489
"Wild ARMs 5 (jp sales)",0.12,489
"Eyeshield 21: Max Devil Power",0.12,489
"Summon Night 3",0.12,489
"Daikaijyuu Monogatari II",0.12,489
"Medarot DS: Kabuto / Kuwagata Ver.",0.12,489
Slayers,0.12,489
"Medarot 4: Kabuto / Kuwagata Version",0.12,489
"Etrian Odyssey V",0.12,489
"Tales of Destiny 2",0.12,489
"Lunar 2: Eternal Blue",0.12,489
"ASH: Archaic Sealed Heat",0.12,489
"Fable II",0.11,516
"Lost Odyssey",0.11,516
"Muramasa: The Demon Blade",0.11,516
"Disgaea 3: Absence of Justice",0.11,516
"Atelier Rorona: Alchemist of Arland",0.11,516
"Shin Megami Tensei: Persona 2: Innocent Sin",0.11,516
"King's Field II",0.11,516
"Ragnarok DS",0.11,516
"Tales of Berseria",0.11,516
"Final Fantasy Fables: Chocobo's Dungeon",0.11,516
"Shiren the Wanderer",0.11,516
"Ar tonelico 2: Melody of Metafalica",0.11,516
"The Legend of Heroes: Trails of Cold Steel II",0.11,516
"The Legend of Heroes II: Prophecy of the Moonlight Witch",0.11,516
"Final Fantasy III",0.11,516
"Queen's Blade: Spiral Chaos",0.11,516
"Tales of Phantasia (PS1 & PSP Versions)",0.11,516
"Soma Bringer",0.11,516
"Frontier Gate",0.11,516
"Panzer Dragoon Saga",0.11,516
"Shining Ark",0.11,516
GiFTPiA,0.11,516
"Final Fantasy I & II",0.11,516
"Ranma 1/2: Akanekodan Teki Hihou",0.11,516
"Mega Man Battle Network 5: Double Team DS (JP sales)",0.11,516
"Saigo no Yakusoku no Monogatari",0.11,516
"Final Fantasy XII International Zodiac Job System",0.11,516
"Virtual Hydlide",0.11,516
"Tales of the World: Reve Unitia",0.11,516
"Dragon Ball Z Super Gokuden: Kakusei-Hen",0.11,516
"The Elder Scrolls V: Skyrim",0.1,546
"Fallout: New Vegas",0.1,546
"Sword Art Online: Lost Song",0.1,546
"Rune Factory 3: A Fantasy Harvest Moon",0.1,546
"Persona 5",0.1,546
"Jeanne d'Arc",0.1,546
Fate/Extra,0.1,546
"Eternal Ring",0.1,546
"Shadow Hearts",0.1,546
"Muramasa: The Demon Blade",0.1,546
"The Legend of Legacy",0.1,546
"Final Fantasy XI: Treasures of Aht Urhgan",0.1,546
"Atelier Escha & Logy: Alchemists of the Dusk Sky",0.1,546
"Disgaea D2: A Brighter Darkness",0.1,546
"The Witch and the Hundred Knight",0.1,546
"Wizardry VI: Bane of the Cosmic Forge",0.1,546
"Digimon Story: Lost Evolution",0.1,546
"Etrian Odyssey II: Heroes of Lagaard",0.1,546
"Little Battlers eXperience W",0.1,546
"Inazuma Eleven GO Strikers 2013",0.1,546
"Digimon Adventure",0.1,546
"Lord of Apocalypse",0.1,546
"Lord of Apocalypse",0.1,546
"Sword & Sorcery",0.1,546
"Tales of Innocence R",0.1,546
"Shining Force EXA",0.1,546
"Luminous Arc 2 (JP sales)",0.1,546
"Ar tonelico: Melody of Elemia",0.1,546
"Sol Trigger",0.1,546
"Digimon Story: Super Xros Wars Blue/Red",0.1,546
"Fallout 3",0.09,576
"Kingdoms of Amalur: Reckoning",0.09,576
"Final Fantasy XI: Wings of the Goddess",0.09,576
"Odin Sphere",0.09,576
